candidate_id,semantic_score,experience_score,domain_score,momentum_score,hidden_talent_score,behavior_score,potential_score,authenticity_score,final_score
CAND_0000031,70.5,100.0,71.7,80.0,58.3,71.7,75.0,100.0,0.7687
CAND_0000014,61.5,100.0,48.9,70.0,30.0,64.9,60.0,100.0,0.6519
CAND_0000045,59.3,100.0,0.0,100.0,30.0,63.1,90.0,100.0,0.6313
CAND_0000001,52.4,100.0,45.8,45.0,66.7,57.3,60.0,100.0,0.6288
CAND_0000043,64.2,100.0,23.0,80.0,58.3,29.5,60.0,100.0,0.6228
CAND_0000020,66.8,100.0,3.0,70.0,58.3,43.3,75.0,100.0,0.6181
CAND_0000027,56.6,98.5,16.2,60.0,58.3,56.1,75.0,100.0,0.6129
CAND_0000042,58.8,100.0,0.0,100.0,30.0,44.8,90.0,100.0,0.6118
CAND_0000004,59.0,97.0,0.0,100.0,30.0,36.9,90.0,100.0,0.5999
CAND_0000021,59.4,97.5,17.2,100.0,30.0,37.3,60.0,100.0,0.5979
CAND_0000015,50.8,100.0,13.8,70.0,66.7,49.9,60.0,100.0,0.5942
CAND_0000025,53.2,100.0,1.5,70.0,30.0,68.1,90.0,100.0,0.5933
CAND_0000038,54.8,100.0,31.9,70.0,30.0,46.8,60.0,100.0,0.5916
CAND_0000036,60.6,100.0,0.0,90.0,30.0,44.4,60.0,100.0,0.5759
CAND_0000010,49.2,100.0,13.6,50.0,58.3,58.0,60.0,100.0,0.5699
CAND_0000017,55.8,100.0,0.0,80.0,30.0,24.3,90.0,100.0,0.5638
CAND_0000041,53.7,100.0,0.0,75.0,30.0,50.1,75.0,90.0,0.5593
CAND_0000019,52.6,100.0,0.0,100.0,30.0,37.8,60.0,100.0,0.5592
CAND_0000007,59.2,100.0,0.0,60.0,30.0,60.6,60.0,100.0,0.5586
CAND_0000026,60.6,100.0,0.0,70.0,30.0,46.9,60.0,100.0,0.5584
CAND_0000008,63.2,94.0,0.0,50.0,30.0,35.9,90.0,100.0,0.5550
CAND_0000035,52.9,100.0,2.9,60.0,30.0,37.7,90.0,100.0,0.5543
CAND_0000033,55.9,100.0,0.0,70.0,30.0,39.0,75.0,100.0,0.5538
CAND_0000009,63.0,100.0,0.0,65.0,30.0,39.5,60.0,100.0,0.5519
CAND_0000046,58.8,100.0,0.0,70.0,30.0,44.0,60.0,100.0,0.5511
CAND_0000048,43.3,100.0,0.0,65.0,30.0,53.4,90.0,100.0,0.5468
CAND_0000023,59.1,95.5,0.0,60.0,30.0,55.3,60.0,100.0,0.5463
CAND_0000032,55.8,100.0,2.2,70.0,30.0,41.7,60.0,100.0,0.5444
CAND_0000002,61.9,100.0,0.0,65.0,30.0,34.2,60.0,100.0,0.5440
CAND_0000024,63.3,100.0,0.0,45.0,30.0,49.0,60.0,100.0,0.5424
CAND_0000039,57.7,98.5,0.0,60.0,30.0,49.7,60.0,100.0,0.5416
CAND_0000049,55.8,100.0,0.0,40.0,30.0,53.7,75.0,100.0,0.5381
CAND_0000016,50.1,100.0,0.0,70.0,30.0,49.2,60.0,100.0,0.5346
CAND_0000037,55.3,98.5,0.0,45.0,30.0,46.0,75.0,100.0,0.5320
CAND_0000018,58.3,100.0,0.0,70.0,30.0,26.0,60.0,100.0,0.5317
CAND_0000011,57.1,70.0,4.2,60.0,30.0,45.0,90.0,100.0,0.5291
CAND_0000034,47.1,97.5,0.0,80.0,30.0,26.9,75.0,100.0,0.5260
CAND_0000030,53.2,100.0,0.0,55.0,30.0,43.0,60.0,100.0,0.5210
CAND_0000005,46.8,100.0,0.0,65.0,30.0,45.8,60.0,100.0,0.5178
CAND_0000044,54.4,100.0,4.1,45.0,30.0,32.7,60.0,100.0,0.5099
CAND_0000040,57.0,64.0,3.0,50.0,58.3,37.7,60.0,100.0,0.4991
CAND_0000006,56.8,100.0,0.0,30.0,30.0,30.7,60.0,100.0,0.4927
CAND_0000047,56.7,76.0,0.0,50.0,30.0,46.5,60.0,100.0,0.4922
CAND_0000050,52.0,100.0,0.0,35.0,30.0,36.4,60.0,100.0,0.4913
CAND_0000022,58.7,56.5,0.0,50.0,30.0,53.4,75.0,100.0,0.4899
CAND_0000029,55.4,100.0,0.0,25.0,30.0,32.4,60.0,100.0,0.4860
CAND_0000028,54.5,56.5,0.0,50.0,30.0,48.1,75.0,100.0,0.4742
CAND_0000013,60.0,56.5,0.0,50.0,30.0,39.7,60.0,100.0,0.4645
CAND_0000003,59.2,56.5,0.0,50.0,30.0,41.2,60.0,100.0,0.4639
CAND_0000012,57.2,56.5,0.0,50.0,30.0,29.4,60.0,100.0,0.4470
